sample_type,rand_id,landslide_id,x,y,pt_elev,area_m2,z_min,z_max,relief_m
random,68,5346,415702.7057799472,2758852.6163105243,252.0,378.3929898683891,246.0,252.0,6.0
random,69,1347,407197.7468768052,2750893.5080847032,240.0,1837.7247579692405,224.0,242.0,18.0
random,70,6124,425025.1347523965,2761207.0331495916,504.0,5336.498947575041,489.0,556.0,67.0
random,71,3814,410208.21098084975,2756175.38235174,233.0,3740.0608407989525,202.0,232.0,30.0
random,72,4334,425641.93672559364,2757221.4154873206,442.0,3081.723840940764,430.0,455.0,25.0
random,73,3913,410111.6120038864,2756436.7635184443,275.0,2242.8709912620784,254.0,279.0,25.0
random,74,3575,418797.58770810335,2755557.288282157,519.0,8024.537417076057,477.0,580.0,103.0
random,75,2956,418847.5967903362,2754353.211272671,514.0,2638.891086531404,505.0,530.0,25.0
random,76,1764,406634.4392282861,2751986.094369333,262.0,1709.5233509491557,252.0,265.0,13.0
random,77,3779,413384.3807133553,2756056.639991107,326.0,1581.458160639675,314.0,353.0,39.0
random,78,2557,430626.7880740341,2753683.3735403805,577.0,2690.212828456869,532.0,582.0,50.0
random,79,2003,404766.96704242186,2752617.5775741837,250.0,4874.811404716096,231.0,265.0,34.0
random,80,3551,409469.1223002503,2755531.724324128,214.0,12501.122353773988,186.0,250.0,64.0
random,81,3989,434554.3190288685,2756616.008990097,499.0,1860.6133215335076,485.0,500.0,15.0
random,82,4883,414851.9023211921,2758109.9531161916,250.0,1219.4936874398422,250.0,260.0,10.0
random,83,3868,425670.45394225925,2756287.610563886,518.0,7029.956886280832,479.0,570.0,91.0
random,84,4530,427836.1944487056,2757592.906483944,499.0,2436.538887008809,489.0,510.0,21.0
random,85,4970,425493.9083027094,2758235.1313094073,449.0,1549.5352261708247,442.0,451.0,9.0
random,86,598,431319.35357413447,2748442.9120719773,400.0,865.0756527820153,390.0,400.0,10.0
random,87,1227,406594.8680294404,2750494.8431036947,253.0,1583.667025691127,241.0,259.0,18.0
random,88,125,427942.5437513784,2745424.519568873,509.0,5185.887674472243,488.0,524.0,36.0
random,89,2284,405325.56429900316,2753106.8861451843,300.0,8114.041437785382,279.0,320.0,41.0
random,90,4164,415802.9270943042,2756829.9821705506,334.0,9652.551807965947,283.0,356.0,73.0
random,91,3942,426147.1115627686,2756500.2394341594,626.0,1813.4588702783885,612.0,640.0,28.0
random,92,1186,407337.1135123474,2750376.391093079,228.0,6494.314455343403,198.0,237.0,39.0
random,93,6211,416787.55151988746,2763552.4467981816,351.0,768.2049002726953,350.0,354.0,4.0
random,94,2453,407621.2636559357,2753479.550467666,239.0,798.7731041151832,228.0,239.0,11.0
random,95,2696,407669.78186414,2753937.3644494126,216.0,1771.3108509102408,217.0,235.0,18.0
random,96,400,429809.0413264848,2747423.9047151045,456.0,8153.6441160947215,456.0,530.0,74.0
random,97,3045,408628.77427436505,2754576.3856721856,232.0,1009.427114562652,225.0,234.0,9.0
random,98,667,430341.681419618,2748627.9085853454,440.0,14739.26280211733,423.0,456.0,33.0
random,99,4077,410326.0115356902,2756745.055138204,273.0,866.1382786709713,264.0,270.0,6.0
random,100,2297,403670.9000476099,2753189.452248515,240.0,1599.5287037663536,224.0,256.0,32.0
random,101,5298,419928.38124578487,2758723.4292929126,271.0,4693.811630132441,251.0,295.0,44.0
random,102,5351,423671.33823604265,2758856.4442775454,410.0,4643.161975040381,396.0,431.0,35.0
random,103,3628,411249.8719916944,2755736.2132578953,251.0,2026.5477367264448,188.0,270.0,82.0
random,104,3085,409177.53630282957,2754652.7666642675,203.0,11022.015320812046,200.0,236.0,36.0
random,105,3893,415156.83580823184,2756319.3486892213,292.0,9888.383043732212,268.0,308.0,40.0
random,106,1951,404128.62515635707,2752529.602023954,267.0,1273.471943261905,257.0,271.0,14.0
random,107,3909,419018.5312590408,2756151.6115298267,352.0,28318.5004612875,333.0,478.0,145.0
random,108,3449,413441.7430213663,2755326.404846262,294.0,7049.7568236003735,237.0,309.0,72.0
random,109,4975,427486.1553657722,2758208.0711121024,493.0,3609.548475429673,479.0,499.0,20.0
random,110,5358,413935.40812104486,2758855.0304876803,233.0,643.018246932805,230.0,235.0,5.0
random,111,2484,406329.4330162989,2753530.249931819,278.0,843.9999445341257,277.0,287.0,10.0
random,112,1316,407510.68467913114,2750779.1620938117,203.0,990.3728764791485,191.0,203.0,12.0
random,113,6721,391350.214488852,2786103.4910435094,453.0,18524.963540403183,411.0,493.0,82.0
random,114,955,431350.82563335274,2749481.9179342235,391.0,1092.0395855551315,393.0,406.0,13.0
random,115,1401,407947.57871315227,2751001.6784750177,236.0,2787.5263085483293,216.0,268.0,52.0
random,116,2612,406920.27307502256,2753719.7913600537,254.0,4464.323342187069,224.0,264.0,40.0
random,117,5662,426883.2295153013,2759450.2972302237,380.0,3637.319513004077,374.0,401.0,27.0
random,118,5738,427895.93685324205,2759530.7096211943,445.0,73328.69187946139,425.0,557.0,132.0
random,119,1898,430732.2740111313,2752396.5864947843,550.0,2360.190399987897,521.0,555.0,34.0
random,120,1803,403404.7715141625,2752124.114669901,239.0,7162.955417187196,235.0,262.0,27.0
random,121,4864,411902.14964493806,2758070.746130439,292.0,1505.9330293702205,289.0,301.0,12.0
