OBJECTID,ls_count,x_ctr,y_ctr,
430,0,419887.3553,2771928.809,
431,0,393888.3284,2756929.829,
432,0,423438.5889,2819324.475,
433,0,406887.3553,2761928.809,
434,0,419937.0949,2818726.097,
435,0,400887.3553,2765928.809,
436,0,427887.3553,2812928.809,
437,0,405887.3553,2780928.809,
438,0,425826.6315,2817642.562,
439,0,402887.3553,2768928.809,
440,0,408887.3553,2761928.809,
441,0,426887.3553,2787928.809,
46,23,429887.3553,2757928.809,0.00357032
443,0,405887.3553,2810928.809,
160,23,413887.3553,2757928.809,0.00357032
445,0,426887.3553,2798928.809,
446,0,398887.3553,2766928.809,
447,0,399887.3553,2762928.809,
284,23,409887.3553,2753928.809,0.00357032
987,23,421879.0543,2746936.98,0.00357032
450,0,412029.0109,2815590.957,
451,0,424887.3553,2784928.809,
452,0,408887.3553,2801928.809,
453,0,385887.3553,2785928.809,
454,0,402887.3553,2807928.809,
455,0,386199.8307,2767862.543,
456,0,425887.3553,2792928.809,
457,0,404887.3553,2794928.809,
458,0,411887.3553,2768928.809,
1852,23,408887.3553,2755928.809,0.00357032
460,0,434860.7453,2785855.702,
461,0,420887.3553,2790928.809,
462,0,397887.3553,2796928.809,
463,0,399887.3553,2777928.809,
464,0,389111.9476,2758041.064,
465,0,391887.3553,2776928.809,
466,0,416887.3553,2770928.809,
1883,23,406887.3553,2754928.809,0.00357032
468,0,408887.3553,2794928.809,
469,0,406887.3553,2769928.809,
470,0,390922.4365,2760887.71,
1962,23,428887.3553,2760928.809,0.00357032
2233,23,407887.3553,2751928.809,0.00357032
473,0,395720.6412,2756285.798,
23,22,428887.3553,2758928.809,0.003415088
475,0,425887.3553,2814928.809,
476,0,398887.3553,2765928.809,
477,0,397887.3553,2778928.809,
186,22,408887.3553,2756928.809,0.003415088
479,0,403887.3553,2784928.809,
480,0,418887.3553,2767928.809,
481,0,406887.3553,2794928.809,
482,0,395887.3553,2765928.809,
483,0,413887.3553,2774928.809,
484,0,423887.3553,2766928.809,
485,0,421887.3553,2767928.809,
486,0,426887.3553,2811928.809,
487,0,400887.3553,2775928.809,
205,22,431887.3553,2758928.809,0.003415088
489,0,413887.3553,2778928.809,
490,0,424887.3553,2776928.809,
491,0,419887.3553,2792928.809,
492,0,411887.3553,2779928.809,
493,0,411887.3553,2795928.809,
494,0,417887.3553,2800928.809,
495,0,404887.3553,2762928.809,
496,0,398887.3553,2768928.809,
497,0,420887.3553,2807928.809,
498,0,392887.3553,2791928.809,
499,0,390887.3553,2777928.809,
500,0,408887.3553,2805928.809,
215,22,414887.3553,2758928.809,0.003415088
502,0,392887.3553,2786928.809,
503,0,395887.3553,2781928.809,
504,0,398887.3553,2783928.809,
505,0,421887.3553,2793928.809,
506,0,400887.3553,2769928.809,
507,0,402887.3553,2813928.809,
508,0,393887.3553,2785928.809,
509,0,404887.3553,2758928.809,
510,0,402887.3553,2810928.809,
511,0,435887.3553,2784928.809,
512,0,431887.3553,2786928.809,
513,0,422887.3553,2813928.809,
514,0,404887.3553,2766928.809,
515,0,400887.3553,2791928.809,
467,22,432887.3206,2746928.844,0.003415088
517,0,416887.3553,2804928.809,
518,0,398887.3553,2778928.809,
519,0,412887.3553,2804928.809,
520,0,402887.3553,2798928.809,
521,0,406887.3553,2763928.809,
522,0,395887.3553,2776928.809,
523,0,416887.3553,2811928.809,
524,0,406887.3553,2803928.809,
525,0,418887.3553,2791928.809,
526,0,412887.3553,2809928.809,
527,0,397887.3553,2769928.809,
528,0,422887.3553,2783928.809,
471,22,421887.3553,2758928.809,0.003415088
530,0,409887.3553,2799928.809,
633,22,419887.3553,2757928.809,0.003415088
532,0,389887.3553,2783928.809,
533,0,400890.6769,2815932.098,
1122,22,415887.3553,2754928.809,0.003415088
1893,22,418887.3553,2756928.809,0.003415088
536,0,414887.3553,2807928.809,
537,0,400989.0203,2817738.115,
538,0,412887.3553,2785928.809,
539,0,399887.3553,2805928.809,
540,0,420887.3553,2779928.809,
541,0,407887.3553,2778928.809,
542,0,421887.3553,2798928.809,
543,0,407887.3553,2765928.809,
544,0,389965.116,2757378.427,
545,0,399887.3553,2759928.809,
546,0,410887.3553,2794928.809,
547,0,412887.3553,2780928.809,
548,0,417517.7373,2819594.586,
549,0,428887.3553,2795928.809,
550,0,394755.6828,2797705.081,
551,0,426887.3553,2770928.809,
552,0,412887.3553,2807928.809,
2152,22,427887.3553,2760928.809,0.003415088
2187,22,405887.3553,2749928.809,0.003415088
555,0,411887.3553,2810928.809,
556,0,386290.0964,2778282.618,
557,0,397887.3553,2782928.809,
203,21,434887.3553,2758928.809,0.003259857
559,0,419887.3553,2763928.809,
560,0,394887.3553,2759928.809,
766,21,430887.3553,2749928.809,0.003259857
1057,21,429887.3553,2749928.809,0.003259857
563,0,392887.3553,2785928.809,
564,0,393887.3553,2773928.809,
565,0,384244.3279,2785125.578,
566,0,418887.3553,2784928.809,
567,0,415887.3553,2799928.809,
568,0,391057.1615,2772042.011,
569,0,418887.3553,2809928.809,
570,0,398887.3553,2794928.809,
571,0,424887.3553,2802928.809,
572,0,401887.3553,2757928.809,
573,0,389025.4677,2790858.271,
574,0,404887.3553,2773928.809,
575,0,423887.3553,2793928.809,
576,0,423887.3553,2808928.809,
577,0,430887.3553,2779928.809,
578,0,410887.3553,2766928.809,
1764,21,404887.3553,2750928.809,0.003259857
580,0,412264.9555,2814376.085,
581,0,427887.3553,2785928.809,
582,0,432887.3553,2784928.809,
583,0,417887.3553,2766928.809,
584,0,391887.3553,2763928.809,
585,0,417887.3553,2803928.809,
586,0,424887.3553,2798928.809,
1807,21,423887.3553,2749928.809,0.003259857
588,0,423887.3553,2772928.809,
589,0,391887.3553,2789928.809,
1846,21,430887.3553,2747928.809,0.003259857
591,0,387887.3553,2766928.809,
592,0,396887.3553,2760928.809,
593,0,403887.3553,2765928.809,
2394,21,418887.3553,2758928.809,0.003259857
2420,21,433887.3553,2757928.809,0.003259857
596,0,405887.3553,2802928.809,
597,0,422887.3553,2778928.809,
598,0,407887.3553,2807928.809,
98,20,417887.3553,2756928.809,0.003104626
600,0,401887.3553,2774928.809,
601,0,420887.3553,2796928.809,
602,0,408887.3553,2798928.809,
603,0,427887.3553,2794928.809,
604,0,394887.3553,2767928.809,
316,20,426887.3553,2760928.809,0.003104626
606,0,394887.3553,2775928.809,
607,0,432851.9282,2780994.235,
608,0,418887.3553,2765928.809,
420,20,431887.3553,2751928.809,0.003104626
610,0,410887.3553,2771928.809,
611,0,387322.4306,2781298.525,
740,20,431887.3553,2757928.809,0.003104626
613,0,420887.3553,2817928.809,
614,0,416887.3553,2785928.809,
615,0,386887.3553,2783928.809,
616,0,427887.3553,2797928.809,
617,0,386937.5358,2765982.288,
618,0,389887.3553,2788928.809,
619,0,386898.5764,2782939.336,
620,0,410887.3553,2793928.809,
621,0,427855.7473,2799653.856,
1224,20,413887.3553,2753928.809,0.003104626
1413,20,414887.3553,2750928.809,0.003104626
624,0,415887.3553,2793928.809,
625,0,429454.3523,2812315.83,
626,0,390887.3553,2757928.809,
627,0,418887.3553,2800928.809,
628,0,399887.3553,2791928.809,
1978,20,404887.3553,2751928.809,0.003104626
630,0,433887.3553,2784928.809,
631,0,398887.3553,2773928.809,
632,0,421887.3553,2766928.809,
2296,20,431887.3553,2746928.809,0.003104626
634,0,394887.3553,2765928.809,
635,0,400887.3553,2788928.809,
2719,20,415887.3553,2759928.809,0.003104626
637,0,390887.3553,2759928.809,
638,0,385225.5478,2789643.206,
639,0,390887.3553,2780928.809,
640,0,421887.3553,2781928.809,
641,0,408887.3553,2769928.809,
642,0,411887.3553,2787928.809,
2792,20,413887.3553,2758928.809,0.003104626
644,0,393887.3553,2759928.809,
645,0,406887.3553,2767928.809,
646,0,395887.3553,2761928.809,
647,0,418852.5138,2818752.977,
648,0,417887.3553,2788928.809,
649,0,403887.3553,2768928.809,
650,0,417887.3553,2776928.809,
651,0,430887.3553,2782928.809,
652,0,418887.3553,2769928.809,
653,0,402887.3553,2785928.809,
654,0,426887.3553,2809928.809,
655,0,422887.3553,2767928.809,
656,0,399898.9178,2799918.932,
657,0,423469.7509,2819510.31,
658,0,393887.3553,2791928.809,
659,0,409873.8267,2811915.489,
660,0,434887.3553,2784928.809,
599,19,433644.6053,2748924.882,0.002949395
662,0,424887.3553,2770928.809,
663,0,421887.3553,2752928.809,
664,0,412887.3553,2786928.809,
665,0,404887.3553,2790928.809,
704,19,411887.3553,2758928.809,0.002949395
1281,19,409887.3553,2756928.809,0.002949395
668,0,427887.3553,2796928.809,
669,0,409887.3553,2781928.809,
1377,19,416887.3553,2756928.809,0.002949395
671,0,415887.3553,2801928.809,
1572,19,430887.3553,2750928.809,0.002949395
673,0,438397.4819,2754462.553,
674,0,423887.3553,2803928.809,
675,0,403887.3553,2762928.809,
1884,19,430887.3553,2757928.809,0.002949395
677,0,409887.3553,2760928.809,
678,0,419887.3553,2817928.809,
679,0,415887.3553,2797928.809,
680,0,408887.3553,2789928.809,
681,0,417887.3553,2778928.809,
682,0,396887.3553,2759928.809,
683,0,423887.3553,2778928.809,
684,0,415887.3553,2783928.809,
1944,19,407887.3553,2755928.809,0.002949395
686,0,425887.3553,2797928.809,
687,0,413887.3553,2776928.809,
688,0,424887.3553,2772928.809,
2236,19,403906.6043,2750944.05,0.002949395
690,0,405887.3553,2783928.809,
691,0,405887.3553,2766928.809,
692,0,402887.3553,2795928.809,
693,0,390887.3553,2766928.809,
694,0,401887.3553,2759928.809,
695,0,414887.3553,2770928.809,
696,0,396887.3553,2790928.809,
697,0,423887.3553,2816928.809,
698,0,421887.3553,2813928.809,
699,0,416887.3553,2789928.809,
700,0,424887.3553,2766928.809,
701,0,421887.3553,2794928.809,
702,0,402887.3553,2781928.809,
2289,19,428887.3553,2757928.809,0.002949395
2292,19,430887.3553,2758928.809,0.002949395
397,18,419887.3553,2758928.809,0.002794163
706,0,431649.6661,2778940.426,
707,0,392887.3553,2790928.809,
708,0,436853.8518,2752077.292,
709,0,392887.3553,2788928.809,
710,0,407887.3553,2773928.809,
711,0,400887.3553,2774928.809,
712,0,423887.3553,2805928.809,
713,0,401887.3553,2765928.809,
590,18,417887.3553,2754928.809,0.002794163
1031,18,410887.3553,2752928.809,0.002794163
716,0,410887.3553,2778928.809,
1129,18,418887.3553,2752928.809,0.002794163
718,0,422887.3553,2771928.809,
719,0,421887.3553,2763928.809,
720,0,404887.3553,2771928.809,
721,0,405887.3553,2808928.809,
722,0,388887.3553,2781928.809,
1527,18,413887.3553,2750928.809,0.002794163
724,0,398887.3553,2759928.809,
725,0,428887.3553,2778928.809,
726,0,412887.3553,2810928.809,
2791,18,407699.0466,2748014.531,0.002794163
728,0,407887.3553,2774928.809,
729,0,401055.8383,2814986.384,
730,0,408887.3553,2776928.809,
731,0,421887.3553,2797928.809,
732,0,412887.3553,2771928.809,
1685,17,410887.3553,2754928.809,0.002638932
734,0,394887.3553,2791928.809,
2010,17,413887.3553,2755928.809,0.002638932
736,0,397012.8067,2755963.484,
737,0,400887.3553,2805928.809,
2046,17,409887.3553,2749928.809,0.002638932
739,0,405887.3553,2793928.809,
2121,17,425887.3553,2753928.809,0.002638932
741,0,406887.3553,2777928.809,
2297,17,403124.7315,2752087.278,0.002638932
743,0,435013.0785,2783063.354,
744,0,424887.3553,2764928.809,
745,0,410887.3553,2806928.809,
746,0,403887.3553,2771928.809,
747,0,418887.3553,2779928.809,
748,0,422887.3553,2805928.809,
749,0,398340.0999,2807490.588,
750,0,401887.3553,2769928.809,
751,0,414887.3553,2809928.809,
752,0,420887.3553,2783928.809,
753,0,429616.8064,2813008.806,
754,0,418887.3553,2810928.809,
755,0,390887.3553,2768928.809,
756,0,409887.3553,2787928.809,
757,0,420887.3553,2801928.809,
758,0,417887.3553,2817928.809,
759,0,396887.3553,2774928.809,
760,0,429887.3553,2784928.809,
761,0,404887.3553,2778928.809,
762,0,413887.3553,2783928.809,
763,0,412887.3553,2768928.809,
764,0,427837.3375,2789893.307,
765,0,413731.359,2748399.447,
2578,17,425887.3553,2748928.809,0.002638932
767,0,402887.3553,2779928.809,
768,0,389887.3553,2777928.809,
769,0,425887.3553,2770928.809,
770,0,404887.3553,2802928.809,
771,0,424887.3553,2812928.809,
